,text,neg,neu,pos,compound,len
238,drop airfar due coronaviru got need take care live yolo covid19 safetyfirst coronavirusoutbreak sundaythought,,,,,
239,latest district 34 email updat regard coronavirusoutbreak,,,,,
240,scottgottliebmd kudo decis maker level must one team aspect coronaviru covid19 fight coronavirusnotestsnocas mindset b c coronavirusisnoflu amp becom coronaviruspandem case amp de,,,,,
241,hell naw oakland california grandprincess coronavirusoutbreak,,,,,
242,morn global coronavirusoutbreak case 105 820 reach 109 835 increas 4015 day,,,,,
243,coronavirusuk coronavirusireland coronavid19 coronavirusoutbreak panicbuy panickbuy panicbuyinguk panicbuy panicbuy toiletpap toiletrol,,,,,
244,jzarif realdonaldtrump iran coronavirusoutbreak northern provinc,,,,,
245,coronaviru usa case 520 0 0001 death 21 0 000006 influenza usa case 34 000 000 10 death 20 000 0 006 mediadrivenpan fakenew coronaviru coronavirususa coronavirusoutbreak coronavirusupd coronavirusupd,,,,,
246,speakerpelosi senschum spectrum fight coronavirusoutbreak turn blind eye rampant public defec street fall nancypelosi chuckschum armyfortrump,,,,,
247,covid 19 coronaviru outbreak pcr japan rank posit case 10 reconsider shall made concerinig pcr test result japanes gov would appli symptom actual sever hundr day even 3 thousand day capac,,,,,
248,enough test facil countri happen person test posit covid19 click find coronavirusoutbreak coronaviru,,,,,
249,pictur elderli man infect coronaviru talk window wife goe viral coronaviru kirkland washington unitedst coronavirusu covid19u coronavirusoutbreak covid covid19 covid 19 covid2019 covid 19,,,,,
250,coronavirusoutbreak coronaviru china wuhan coronaviruswuhan coronarviru corona covid19,,,,,
251,face mask 3 activ carbon filter cotton sheet n95 pm2 5 dark grey ad coronaviru coronavirusoutbreak covid2019 wuhanviru coronavirususa pandem sarscov2 china wuhan flu coronaoutbreak covid19,,,,,
252,question could coronaviru man made covid19 coronavirusoutbreak coronavid19,,,,,
253,europarl congress sanchezcastejon casar coronaviru coronavirusoutbreak coronavid19 video,,,,,
254,unhumanright chief urg state put human right first covid19 spread coronavirusoutbreak contain measur may push edg vulner group bare surviv econom via juristnew,,,,,
255,took worldwid viru remind need wipe butt properli wash hand regular eat everyth stop nasti vaccin replac proper hygien coronavirusoutbreak covid19 coronaviru,,,,,
256,usatoday simpl word want get infect stay clear coronavirusoutbreak,,,,,
257,avoid gym coronavirusoutbreak coronaviru,,,,,
258,mani level idiot includ neither one know nero refer coronavirusoutbreak,,,,,
259,eliminationchamb wwechamb wwe wweeliminationchamb wwe wweonbt coronaviru coronavid19 coronavirusoutbreak,,,,,
260,serious someon watch say control booth jesu cut commerci quick call 911 must stroke bizzaroworld covid19 coronavirusoutbreak coronaviru trumpisanidiot foxnewssunday,,,,,
261,peopl sneez know folk gonna yell corona like peopl yell kobe throw trash garbag distanc dont believ watch alreadi start coronavirusoutbreak covid 19 covid19,,,,,
262,tedcruz cpac uscoronaviru covid covid19 sarscov2 2019ncov ncip necip wuhancoronavirusoutbreak wuhan wuhanviru wuhanoutbreak coronaviru coronavirusoutbreak chinacoronaviru,,,,,
263,whosearo whowpro europ whoafro whoemro pahowho one china excel job control covid 19 outbreak,,,,,
264,auspol scottyfommarket coalit auspolsocorrupt mismanag corrupt steroid economytank faster coronavirusau coronavirusoutbreak sportsrort australianbushfir,,,,,
265,enough test facil countri happen person test posit covid19 click find coronavirusoutbreak coronaviru,,,,,
266,whosearo whowpro whoafro pahowho whoemro europ one china excel job control covid 19 outbreak,,,,,
267,coronaviru sar co v2 covid 19 north itali quarantin impos govern put quarantin april 3 lombardi 14 provinc piemont v nie l mili romagna market figaro,,,,,
268,golden thought hoax ted coronaviruspandem,,,,,
269,understand republican believ trump begin great white hope damn stupid coronaviru coronavirusoutbreak,,,,,
270,covid19 rise 10 confirm case philippin greenhil mall ghost town mall hour coronavirusoutbreak case pandem protectyourself china viru,,,,,
271,cdcgov cdcgov covid 19 coronavirusupd coronavirusoutbreak coronavirususa coronaviru cdctravelnotic break news breakingnew news usa health chinaviru china california governor gavin newsom give updat coronaviru outbreak ht,,,,,
272,went mini mart today throat dri 10 second make cough wait line someon ask use bathroom cashier said got done throw covid19 come coronavirusoutbreak coronaviru covid covid2019 covid2019,,,,,
273,italian govern lockdown huge part northern region effort tri contain coronaviru coronaviru coronavirusoutbreak coronavirusseattl coronavirusnyc covid19 covid2019,,,,,
274,coronavirusoutbreak 33 state coronaviru biotech stock green hour aim vxrt spex bioc codx ino rttr ibio ontx cocp cbli vbiv cer aemd bcrx apt corv atnh seel scyx tnxp enz pacb krmd gh tmdi lpcn mbrx dmpi sesn,,,,,
275,mani case oyu think tommorow covid19 coronaviru covid2019 coronavirusoutbreak coronavid19 mondaythought mondaymotivaton sundaymotiv sundaythought,,,,,
276,point think america quarantin think certain confirm number covid case speakout coronavirususa coronavirusoutbreak covid,,,,,
277,india report 5 new case coronaviru rais total 40 case coronavirusoutbreak coronaviru,,,,,
278,karma bitch tedcruz get well soon mild coronaviru flu hoax coronavirusoutbreak,,,,,
279,smartphon use clinic set harbour potenti pathogen bacteria may pose infect risk previou studi reli cultur base method sar cov 2 coronavid19 2019ncov coronaviru covid 19,,,,,
280,ncov19 coronaviru coronavirusoutbreak covid19 covid19gr,,,,,
281,drtedro one china excel job control covid 19 outbreak,,,,,
282,think ever seen peopl wash hand well coronavirusoutbreak,,,,,
283,coronaviru epidem updat 32 import data south korea zin via youtub coronavirusoutbreak,,,,,
284,trump withhold coronaviru test kit governor put live risk coronavirusoutbreak covid19 covid2019 covid19usa covid19coverup covid19itali china pandem pandemicprepared,,,,,
285,handsanitis sale dm offer ship coronaviru coronavirusoutbreak coronavirususa coronavirusni purel,,,,,
286,coronavirusoutbreak,,,,,
287,import data press share allevi fear panic covid2019 coronavirususa coronavirusoutbreak coronavirusupd covid19data,,,,,
288,coronaviru coronavirususa coronavirusoutbreak damn wish brain faster cheaper toilet paper water,,,,,
289,coronaviru coronavirusoutbreak covid19u,,,,,
290,gregggonsalv realdonaldtrump actupni coronaviru 109 700 infect mass quarantin new york state coronavirusoutbreak coronaviru trump nyc itali,,,,,
291,like releas date upcom hindi film might postpon due coronavirusoutbreak hollywood film alreadi start reschedul date sooryavanshi notimetodi blackwidow,,,,,
292,drtedro one china excel job control covid 19 outbreak,,,,,
293,nygovcuomo coronaviru 109 700 infect mass quarantin new york state coronavirusoutbreak coronaviru trump nyc itali,,,,,
294,mayawiley coronaviru 109 700 infect mass quarantin new york state coronavirusoutbreak coronaviru trump nyc itali,,,,,
295,doggintrump coronaviru 109 700 infect mass quarantin new york state coronavirusoutbreak coronaviru trump nyc itali,,,,,
296,drtedro one china excel job control covid 19 outbreak,,,,,
297,head coronaviru coronavirusoutbreak covid19,,,,,
298,coronaviru death china 3097 itali 366 iran 194 south korea 50 us 20 franc 19 spain 17 japan 6 iraq 4 australia 3 netherland 3 switzerland 2 uk 2 hong kong 2 germani 1 thailand 1 egypt 1 argentina 1 philippin 1 coronavid19 coronavirusoutbreak,,,,,
299,coronaviru danger influenza coronavirusfr covid2019 covid19fr covid 19,,,,,
300,coronaviru 109 700 infect mass quarantin new york state coronavirusoutbreak coronaviru trump nyc itali,,,,,
301,global covid19 case 109 872 confirm 37 61 915 recov 1 206 3 824 death 21 case exclud china 29 137 confirm 1 3 376 recov 3 706 death coronaviru coronavirusupd coronavirusoutbreak,,,,,
302,morn 31 new infect countri total number 200 take dike serious also mani death belgium belgiqu belgiqu coronaviru covid2019 covid19 coronavirusoutbreak coronaviru updat,,,,,
303,urgent white hous expect number coronaviru case doubl next 24 48 hour american readi anyth good coronavirususa coronavirusoutbreak coronavirususa coronaalert america,,,,,
304,coronaviru coronavirususa coronavirusoutbreak covid19u yeah would panic would impact us,,,,,
305,close school let wait come nygovcuomo billdeblasio coronaviru coronavirususa covid19 coronavirusoutbreak bettersafethansorri,,,,,
306,u market open morn opec oil coronavirusoutbreak,,,,,
307,scari may god protect everybodi covid coronavirusoutbreak,,,,,
308,coronaviru coronavirusoutbreak,,,,,
309,realdonaldtrump lie corrupt crimin coronaviru hit home realiz karma come 1000 fold amp abl lie cheat steal buy bulli way trumpviru c,,,,,
310,point make independ decis send kid school diseas ridden world suck want coronaviru covid19australia australia coronavirusoutbreak,,,,,
311,abc7 older amp militari wish harm one let hope coronavirusoutbreak coronaviru covid19 usa start take respons could turn point need trump,,,,,
312,nevermind need ideolog need idiot need compet coronavirusoutbreak covid19 deadlinewh maddow joebiden amyklobuchar,,,,,
313,alfonslopeztena current 192 known mutat viru respons covid 19 even limit test that go worldwid known viru 12 week extrem unlik get function worldwi,,,,,
314,ted cruz quarantin bright side outbreak coronaviru coronavirususa coronavirusoutbreak coronavirusupd,,,,,
315,davidcorndc telegraph say traitortrump intent facilit coronavirusoutbreak get control delay test amp encourag commun spread etc way control elect march ralli limit voti,,,,,
316,trumpviru coronavirusoutbreak trumpisanationalsecuritythreat gopbetrayedamerica trumpcrash traitortrump trumpisarussianasset,,,,,
317,stupid take tri say trump charg defend american spread corona buck stop somewher els appar coronaviru coronavirusoutbreak,,,,,
318,scmp coronaviru highli sensit high temperatur bank summer kill studi say china style lockdown answer contain coronaviru sarscov2 coronavirusoutbreak covid19,,,,,
319,coronavirusoutbreak washyourhand,,,,,
320,t20worldcup coronavid19 coronavirusoutbreak teamindia internationalwomensday,,,,,
321,hashtag sick deni test coronaviru keep hear avail stori show someth differ covid covid19usa coronavirususa coronavirusoutbreak covid19u deniedcovid19test,,,,,
322,think nurs doctor front line global pandem think winston churchil speech battl britain never much owe mani coronaviru covid19 covid2019 coronavirusoutbreak covid19u,,,,,
323,consid fuck coronavirusni coronaviru coronavirusoutbreak,,,,,
324,mkraju glad self quarantin question tedcruz make guy realdonaldtrump look bad like tweet morn much tri tedcruz coronavirusoutbreak,,,,,
325,unsur travel japan detail help articl might help decid covid19 coronaviru covid19japan covid 19 coronavirusjapan coronavirusoutbreak,,,,,
326,china 1 coronaviru pandem coronavirususa covid coronavirusoutbreak wuhancoronaviru coronavid19 hongkongprotest chinanumber0 xhnew foxnew tedcruz bbcworld,,,,,
327,ted target viru gop member list least think coronavirusoutbreak,,,,,
328,practic advic regard covid 19 coronavirusoutbreak coronaviru,,,,,
329,break 2nd case minnesota coronaviru coronavirususa coronavirusoutbreak,,,,,
330,speakerpelosi debramess senschum reason covid19 test yet realdonaldtrump insist test made compani own stock coronaviru coronavirusoutbreak,,,,,
331,monday bloodbath wall street coronangst coronah coronaviru covid 19 covid2019,,,,,
332,thank china spread coronaviru covid19 coronavirusoutbreak,,,,,
333,news news news newspick news itali italycoronaviru covid2019 covid covid19australia repost coronavirusoutbreak coronaviru breakingnew coronavid19 trendingnow itali quarantin 16 million peopl coronaviru fear,,,,,
334,coronavirusoutbreak,,,,,
335,chines polic offic wear smart helmet detect suspect coronaviru infect pedestrian coronaviru china coronavirusupd coronaoutbreak coronavirusoutbreak covid covid19 covid 19 wuhan covid2019 covid 19,,,,,
336,good friend got cruis ship today state depart advisori recent convers went like coronavirusoutbreak,,,,,
337,realdonaldtrump contain coronavirusoutbreak promis contain hoax fake whitehous enemi peopl peopl die talk newspap notmypr,,,,,
338,realdonaldtrump nero play rome burn covid19u coronavirusoutbreak coronavirusupd covid19,,,,,
339,dwuhlfelderlaw covid 19 itchi face itchi eye itchi nose oh itchi face itchi eye itchi note oh realdonaldtrump loser still win stockmarketcrash2020 putinsbitch coronaviru,,,,,
340,noth fear stand togeth right side human coronavirusoutbreak,,,,,
341,break 20 new case washington state 3 death coronaviru coronavirusoutbreak coronavirusupd,,,,,
342,american trap lock northern itali free fli home atlanta airport admit would face addit screen coronaviru coronavirusoutbreak covid19 coronavirususa,,,,,
343,22 yr young man report fell height last night kwun tong anoth wave homicid sinc coronavirusoutbreak,,,,,
344,realdonaldtrump coronavirusoutbreak trumpcrash,,,,,
345,cours anyth tri kill economi tri thwart realdonaldtrump win anoth term want recess sinc elect coronavirusoutbreak former fda chief warn econom impact coro,,,,,
346,dont panic coronavirusoutbreak go trust sourc,,,,,
347,someon yet understood futschi massiv acceler coronaviru outbreak,,,,,
348,get cross 9 11 2008 greatrecess coronavirusoutbreak economicfreefal 2020,,,,,
349,trumprecess come market faith administr handl coronavirusoutbreak dow futur 1100 oil 30 10 yr yield 0 50 go bloodbath tomorrow,,,,,
350,receiv packag hong kong soon spray amp wipe mailbox imagin hand handl mail coronaviru coronavirusoutbreak covid2019,,,,,
351,covid2019 coronavirusoutbreak coronavirusupd coronavirusquest nurs,,,,,
352,dumb ass tweet play violin dead covid19 victim coronaviru coronavirusoutbreak coronavirusni coronavirusseattl coronaoutbreak covid2019 covid covid19u,,,,,
353,ted cruz may coronaviru still dem hoax gop coronavirusoutbreak covid2019,,,,,
354,thank laurennews3lv speak publichealthrx christina madison rosemanuh latest updat coronavirusoutbreak watch tonight news3lv healthcar medic cdc,,,,,
355,trvrb outstand work trvrb track covid 19 outbreak power evolutionari virolog biolog,,,,,
356,nostradamu see head governor state side countri start bring mandatori quarantin day becom clear necessari coronaviru coronavirusoutbreak covid covid2019 ca ny nyc,,,,,
357,walmart midst covid2019 pandem one would hope store would top prevent measur happen quit frequent respons got around check entranc sorri,,,,,
358,updat current map usa infect state coronaviru coronavirususa coronavirusoutbreak coronavirusupd,,,,,
359,cousin best friend work cdc share info whole famili gonna share coronaviru coronavirususa coronavirusoutbreak,,,,,
360,kasiedc get start tonight might know mulvaney head home carolina back offic manag amp budget msnbc depart headofomb make fear covid 19 congressiona,,,,,
361,covid 19 covid19 19 2019 coronaviru tnn tnnthailand tnn 16,,,,,
362,coronavirusoutbreak covid2019 erdogan,,,,,
363,global covid19 case 109 955 confirm 83 61 916 recov 1 3 824 death case exclud china 29 220 confirm 83 3 376 recov 706 death coronaviru coronavirusupd coronavirusoutbreak,,,,,
364,matteosalvinimi also strang thing unleash fear creat leagu someon suggest stink much covid19 covid 19 coronaviru coronvirusitalia,,,,,
365,yo tedcruz pleas feel free self quarantin end time miser magat coronavirusoutbreak covid2019 complicitcorruptgop traitorssupporttraitortrump,,,,,
366,stop coronaviru littl displac peopl possibl home 14 day see decreas infect difficult maggi deblock covid2019 covid19 coronavirusoutbreak coronaviru updat belgium belgiqu belgium flander belgium netherland,,,,,
367,covid 19,,,,,
368,holi celebr set begin delhi shopkeep sadar bazar taken doubl hit derail shipment china declin custom footfal due covid19 scare coronavirusoutbreak,,,,,
369,postcard front line coronaviru outbreak rome ghost town globe mail covid 19 coronavirusoutbreak,,,,,
370,pray shook trump hand coronavirusoutbreak,,,,,
371,brugesgroup think might need bit taiwan hong kong put test restrict guidanc airport much proactiv approach paid short term pain long term gain commonsens coronavirusoutbreak,,,,,
372,final made video youtub spanish speak peopl link kayserelizabeth eliotetc rickyftw plorigo komonew univisionnew coronavirusoutbreak covid covid19seattl coronavirusseattl coronavirusoutbreak,,,,,
373,school district westchest epicent new york coronavirusoutbreak close teacher test posit happen place keep track epidem sweep across countri way behind test prepar,,,,,
374,covid 19 covid 19,,,,,
375,shave beard prevent coronaviru covid 19,,,,,
376,pleas retweet need wipe phone everi time wash hand think coronaviru coronavirusoutbreak covid2019 coronavirustruth covid coronavirususa covid19u,,,,,
377,feel coronaviru coronavirusoutbreak epidem usa bare anyon test pleas follow us prepar massiv disrupt daili activ follobackforfolloback covid19usa,,,,,
378,sar cov 2 sarscov2 covid19 covid 2019 covid 19 covid2019 2019ncov coronaviru thailand elsewher map show activ case,,,,,
379,109 880 case 3 824 death 61 917 recov coronaviru coronaviru covid2019 coronavirusoutbreak coronavirusupd,,,,,
380,updat two new coronaviru patient albania stabl condit complic health ministri said covid19 coronavirusoutbreak coronavirusitalia covid19italia,,,,,
381,satellit imag reveal impact coronaviru space coronaviru coronavirusupd covid covid19 covid2019 covid 19 coronavirusoutbreak covid 19 china iran japan,,,,,
382,berniesand tri make sure life save drug afford joebiden vote passiton onlyberni bernie2020 notmeu coronavirusoutbreak drdooleymd ninaturn kylekulinski progressvoic samsed davidsirota daviddoel htt,,,,,
383,channel4new cathynewman coronavirustruth answer fool coronavirusoutbreak hmmmm,,,,,
384,itali 6 387 infect 622 heal 366 victim 60 483 973 ball iorestoacasa irrespons covid19italia coronaviru itali coronavirusoutbreak,,,,,
385,albania report 2 new case coronaviru covid19 coronavirusoutbreak,,,,,
386,extrem reckless netherland group 900 dutch colleg student took ski trip northern itali return home bu given instruct local health worker quarantin coronaviru coronavirusoutbreak covid19u,,,,,
387,realdonaldtrump someon cpac test posit w covid19 coronaviru plan inflect coronavirusoutbreak coronavirusupd,,,,,
388,realdonaldtrump realdonaldtrump state sponsor foxnew network seanhann go keep lie maga klan peopl pandem coronavirusoutbreak never affect trumpliesaboutcoronaviru notmypresid,,,,,
389,coronaviru outsid china 29 235 case 708 death date total 3 827 death 109 969 total covid19 case confirm worldwid coronavirusoutbreak,,,,,
390,half shallow shell melaniaantoinett bebestmyass covid tennispavilion flotu coronavirusoutbreak trumpviruscoverup coronaoutbreak cdcdirector cdcgov,,,,,
391,abc shake hand coronaviru coronavirusoutbreak,,,,,
392,redpainter1 peopl die simpli trump administr treat coronavirusoutbreak public relat crisi public health emerg,,,,,
393,attent costa rican ministri health confirm 9 case covid coronaviru 19 34 suspect,,,,,
394,thedailybeast donald trump jr said claim democrat want million die coronaviru deflect trump sr purpos tri kill us withhold test kit amp lie coronavirusoutbreak,,,,,
395,coronaviru infect ted cruz coronaviru coronavirususa coronavirusoutbreak,,,,,
396,took state dept long enough tell peopl go cruis warn issu last month caus ppl clearli common sens coronaviru covid19 coronavirusoutbreak coronacruis regalprincess grandprincess,,,,,
397,import note new mexico test dozen peopl fellow burqu folk assum viru among us washyourhand covid19 covid19u coronavid19 coronavirusoutbreak coronaviru sarscov2 nmdoh kob4 koat7new abq abqjourn govmlg,,,,,
398,ye whyyyyyy trump stopallther coronavirusoutbreak coronaviru covid2019,,,,,
399,10 year treasuryyield plung 0 5 coronavirusoutbreak oilpricewar dbo dbe dbc bno sco uwi uwti oil uvxi usl olem oilx uwt olem uso xle vde xop amlp spi spx dia dji djia qqq ixic iwm iwn iwo tlt ief tyx gdx gld,,,,,
400,coronaviruschalleng coronaviru coronavirusoutbreak livelarg,,,,,
401,wake america flu covid 19 coronavirususa coronavirusupd coronavirusseattl coronaviruscolorado outbreak coronaviruscanada coronavirusnewyork coronaviruscalifornia coronaviru covid19u coronavirusoutbreak covid19 covid2019 coronavirushawaii,,,,,
402,fair warn coronavid19 coronaviru covid2019 coronavirusoutbreak coronavirusupd covid covid19u coronavid19 coronavirusseattl coronaviruswashington,,,,,
403,unfit public offic coronavirusoutbreak,,,,,
404,joe biden stress handler urg sniff peopl due coronavirusoutbreak,,,,,
405,coronavirusoutbreak itali death toll soar amid travel ban,,,,,
406,like flu want ppl work need nation pto state emerg quarantin know give fuk coronavirusoutbreak covid2019 bill,,,,,
407,coronaviru coronavirususa coronavirusoutbreak coronavid19 educ racism asianamerican chines chineseamerican election2020 npr tobeequ w terrenc zhao chineseaz manga4congress foxnew whitehous flotu chunyan li wu wenyuan patriotasam gztoghetto,,,,,
408,grand reckless american experi go wrong made worst possibl dude potu confirm expect result shall call day give countri back compet peopl late coronavirusoutbreak removetrumpnow,,,,,
409,okay 3 student contract covid 19 viru 1 girl willoughbi girl high nsw st patrick dunda close tomorrow coronavirusoutbreak covid19australia covid 19,,,,,
410,drink alcohol protect coronaviru say alcohol coronaviru coronavirusupd coronavirusoutbreak covid covid19 covid 19 wuhan covid2019 covid 19,,,,,
411,bad news flu vaccin recipi never know effect harm vaccin late coronavirusoutbreak fluvaccin thescienceisntsettl,,,,,
412,covid19 govern prioriti follow next 2 year 1 full scale free test pandem cover healthcar 2 contain mitig 3 econom subsidi pay basic rent food coronaviru coronavirusoutbreak,,,,,
413,oil price tank 1991 price 96 cent ga apocalyps coronavirusoutbreak coronaoutbreak covid2019 coronaviru covid coronavirusseattl,,,,,
414,icelandairwav icelandair covid2019 pneumonia washyourhand donttouchyourfac pneumoniawuhan coronavirusnew v2019n covid19upd 2019ncovwatch coronaviru coronavirususa coronavirusoutbreak coronavirusiceland,,,,,
415,waltshaub pandem 21 total death us know averag 21 peopl die everi 7 hour us flu 10 000 peopl die far flu season us hoax coronaviru coronavirususa coronavirusoutbreak coronao,,,,,
416,iran flight europ coronaviru coronavid19 covid2019 coronavirusoutbreak coronavirusupd quoterix quoterixnew iran air stop flight europ report,,,,,
417,thread pleas read coronaviru coronavirusoutbreak,,,,,
418,blame obama trumpownscoronaviru trumpviru coronavirusoutbreak,,,,,
419,coronavirusoutbreak suck sold concert ticket worth attend put peopl risk,,,,,
420,tedcruz coronaviru coronavirusoutbreak realdonaldtrump,,,,,
421,drjodyrich colleagu brownunivers public health consequ incarcer peopl coronavirusoutbreak even prison guard care health safeti risk absolut know danger,,,,,
422,steffenk coronavirusotbreak,,,,,
423,ladi amp gentlemen command chief well think think somebodi go without see someth like saw someth happen china soon saw happen realdonaldtrump charg coronavirusoutbreak,,,,,
424,read articl talk someth call social distanc limit exposur coronaviru never heard term covid19 coronavirusoutbreak coronaoutbreak,,,,,
425,sar cov 2 sarscov2 covid19 covid 2019 covid 19 covid2019 2019ncov coronaviru thailand elsewher,,,,,
426,70 2 500ml 230 50 70 2 dm 2019 covid19 covid 19,,,,,
427,stopther coronavirusoutbreak stopther coronavirusoutbreak stopther coronavirusoutbreak biden berni trump coronavirususa,,,,,
428,nbc covid 19 sar 2 tokyo2020,,,,,
429,demograph like surviv infect young healthi may need pay closest attent prevent measur peopl spread diseas believ cold covid19 covid 19 coronaviru,,,,,
430,break cdc confirm 98 peopl regardless come contact coronaviru die point time meantim wash hand touch face relax take deep breath covid2019 coronavirusoutbreak covid,,,,,
431,stockmarket bloodbath tomorrow russia amp saudiarabia stand crashstockmarket amp oilpric amp oilandga product forget coronavirusoutbreak say recession2020 scari dow back 18 000 know,,,,,
432,coronavirusoutbreak,,,,,
433,victoria australia jump 10 15 case 2 day coronavirusoutbreak covid19australia covid 19,,,,,
434,surgeon gener adam give straight answer mani american test coronaviru need surgeon gener credibl right coronaviru coronavirusoutbreak,,,,,
435,coronavirusoutbreak,,,,,
436,coronavid19 coronavirusoutbreak coronavirusupd check polit american matter new video current updat coronaviru make sure subscrib like share,,,,,
437,intern stockmarket northamerica westerneurop southamerica easterneurop africa middleeast amp asia plung global recess fear coronavirusoutbreak hit 100 countri almighti allah pleas merci stockmarketcrash2020,,,,,
438,coronavirusoutbreak,,,,,
439,insid china war coronaviru trumpliesaboutcoronaviru covid 19 coronavirusoutbreak coronaviru,,,,,
440,coronaviru vs cold vs flu sarscov2l covid19 covid 19 coronaviru,,,,,
441,monday bloodbath market govern tri save economi actual end hurt global economi coronavirusoutbreak globaleconomi,,,,,
442,anti xi jinp protest uighur uighur uighur covid 19 coronaviru turkey,,,,,
443,hoax accord foxnew seanhann rest maga cult right coronaviru coronavirusoutbreak,,,,,
444,donald trump respons coronaviruspandem respons dismemb us contribut global earli warn amp respons network amp keyston cop clusterfuck america current dumbshow eno,,,,,
445,feel bad ted cruz wife expos coronaviru coronaviru coronavirususa coronavirusoutbreak,,,,,
446,sar cov 2 sarscov2 covid19 covid 2019 covid 19 covid2019 2019ncov coronaviru thailand elsewher current case us via,,,,,
447,ted cruz daughter quarantin cool tedcruz coronaviru coronavirusoutbreak quarantin,,,,,
448,would well eu let peopl find place 14 day cost money also reduc infect covid2019 covid19 coronavirusoutbreak coronaviru updat coronaviru belgium belgium belgiqu netherland,,,,,
449,global covid19 case 109 957 confirm 2 61 916 recov 3 824 death case exclud china 29 222 confirm 2 3 376 recov 706 death coronaviru coronavirusupd coronavirusoutbreak,,,,,
450,saudi arabia suspend school univers also precautionari measur distanc learn programm implement kingdom coronavirusoutbreak covid2019 coronaviru ksa,,,,,
451,rememb freak reach 6 coronaviru coronavirusoutbreak,,,,,
452,oh realdonaldtrump realli simpleton coronavirusoutbreak,,,,,
453,coronavirusoutbreak,,,,,
454,guardian sure hard time come china coronavirusoutbreak acceler withdraw foreign invest busi plan move suppli chain countri back local polit system soon face challeng,,,,,
455,wed anoth state come weekend would still fli gather larg group cancel serious ask vote retweet want know peopl think coronaviru coronavirusoutbreak covid,,,,,
456,coronavirusindia corona coronavirusoutbreak,,,,,
457,realdonaldtrump oh man better hope market crash get much wors coronaviru kill ten thousand wow tweet go look bad moroninchief coronavirusoutbreak stockmarketcr,,,,,
458,covid 19,,,,,
459,newvoicesnasem launch jennif ai helper provid inform covid 19 coronaviru covid 19 fightmisinform thenasem,,,,,
460,quit lie con man realdonaldtrump aka potu nazi regim give damn coronaviru moron slow test kit everi state usa idiot believ scienc moron coronavirusoutbreak coronavirustruth trumpviru,,,,,
461,coronavirusoutbreak men vulner coronaviru women,,,,,
462,odd thegoodgodabov told huge trump fan would releas pandem induc worldwid recess elect year coronavirusoutbreak trumprecess recession2020,,,,,
463,far truth peopl love good panic covid19u coronavirusoutbreak coronaviru,,,,,
464,keep cat hous coronaviru outbreak black plagu,,,,,
465,apex ww hope went full bio hazzard gear last time went 12 fire fighter end quarantin lifecar washingtonst covid19 coronaviru coronavirusoutbreak,,,,,
466,coronaviru coronavid19 covid2019 coronavirusoutbreak,,,,,
467,us report 22nd death uk report 3rd death covid 19 covid19 sarscov2 sar cov 2 coronaviru coronavirusoutbreak,,,,,
468,break marin corp base quantico locat dumfri va code yellow sinc marin base test posit coronaviru coronavirusupd covid19 coronavirusoutbreak covid trumpviru trumpcoronaviru trumpcoronadisast,,,,,
469,one think mayb best time dine buffet covid 19,,,,,
470,good thing hoax accord gop coronaviru coronavirususa coronavirusoutbreak,,,,,
471,dont forget buy extra broccoli spinach plier copper coil kitti litter protect coronaviru covid 19 panicbuy coronavirusoutbreak coronaviruschalleng,,,,,
472,govt didnt behav way w ebola sar mer h1n1 swine flu aid differ w covid19 coronavirusoutbreak coronaviru biowarfar amp viru wish someon would clarifi definit isnt instead look vaccin theyd need find anecdot,,,,,
473,daili coronaviru data 3 8 8 43 pm worldwid confirm case 109 963 recov 61 918 death 3 824 3 4 number still infect 44 221 outsid china confirm case 29 228 recov 3 378 death 706 2 number still infect 25 144 us 545 coronavirusoutbreak,,,,,
474,trumpsterrorist coronaviru coronavirusoutbreak rnc gop shitshow massacremitch moscowmitch leningradlindsey penc pompeo putin impeachtrump impeachbarr,,,,,
475,coronaviru quarantin hotel china quanzhou citi collaps dozen trap china quanzhou fujian coronaviru covid covid 19 covid19 coronavirusoutbreak,,,,,
476,kazweida tedcruz sentedcruz said liber hoax either afraid hoax liar ted republican missionaccomplish coronavirusoutbreak,,,,,
477,top us health offici warn older american get cruis ship via epochtim coronavirusoutbreak coronaviru,,,,,
478,karma know happen bigger traitor covid2019 covid trumpzealot traitort coronaviru coronavirusoutbreak coronaoutbreak karma texa,,,,,
479,china report 1 new case bring total confirm case 80 735 3 119 total death 40 new case 22 new death report today coronaviru covid19 coronavirusoutbreak,,,,,
480,potu fiddl us burn coronaviru coronavirususa coronavirusoutbreak,,,,,
481,china report 22 amp 39 new case covid 19 lowest last 2 month us report 3 amp 103 case uk report 1 amp 64 case 8 countri gt 500 activ case 6 countri gt 1000 coronavirusoutbreak coronavirusupd,,,,,
482,covid19 stop mask germ micro travel mask easili make look su stay 6 feet away avoid 6ft thank coronaviru coronavid19 soe coronavirusoutbreak,,,,,
483,would republican quarantin hoax coronaviru coronavirususa coronavirusoutbreak,,,,,
484,updat coronaviru date total 3 827 total death 109 970 total covid19 case confirm worldwid total 29 235 case 708 death report outsid china coronavirusoutbreak,,,,,
485,look mitig effect covid 19 keep employe healthi check tool hbr lead compani coronaviru,,,,,
486,outstand idea walk talk realdonaldtrump coronavirusoutbreak,,,,,
487,coronaviru coronavirususa coronavirusni coronavirusoutbreak,,,,,
